zipCode,city,state,zone
93510,Acton,CA,
92301,Adelanto,CA,
91301,Agoura Hills,CA,
91376,Agoura Hills,CA,
92536,Aguanga,CA,
91801,Alhambra,CA,B
91802,Alhambra,CA,B
91803,Alhambra,CA,B
91804,Alhambra,CA,B
91896,Alhambra,CA,B
91899,Alhambra,CA,B
92656,Aliso Viejo,CA,E
92698,Aliso Viejo,CA,E
91901,Alpine,CA,
91903,Alpine,CA,
91701,Alta Loma,CA,G
91737,Alta Loma,CA,G
91001,Altadena,CA,B
91003,Altadena,CA,B
92304,Amboy,CA,
92801,Anaheim,CA,C
92802,Anaheim,CA,C
92803,Anaheim,CA,C
92804,Anaheim,CA,C
92805,Anaheim,CA,C
92806,Anaheim,CA,C
92807,Anaheim,CA,C
92808,Anaheim,CA,C
92809,Anaheim,CA,C
92812,Anaheim,CA,C
92814,Anaheim,CA,C
92815,Anaheim,CA,C
92816,Anaheim,CA,C
92817,Anaheim,CA,C
92825,Anaheim,CA,C
92850,Anaheim,CA,C
92899,Anaheim,CA,C
92305,Angelus Oaks,CA,
92539,Anza,CA,
92307,Apple Valley,CA,
92308,Apple Valley,CA,
91006,Arcadia,CA,B
91007,Arcadia,CA,B
91066,Arcadia,CA,B
91077,Arcadia,CA,B
93420,Arroyo Grande,CA,
93421,Arroyo Grande,CA,
90701,Artesia,CA,B
90702,Artesia,CA,B
93422,Atascadero,CA,
93423,Atascadero,CA,
92811,Atwood,CA,C
90704,Avalon,CA,
93424,Avila Beach,CA,
91702,Azusa,CA,B
92309,Baker,CA,
91706,Baldwin Park,CA,B
92220,Banning,CA,
92311,Barstow,CA,
92312,Barstow,CA,
92223,Beaumont,CA,
90201,Bell,CA,B
90202,Bell ,CA,B
90202,Bell Gardens,CA,B
90201,Bell Gardens ,CA,B
90706,Bellflower,CA,B
90707,Bellflower,CA,B
90209,Beverly Hills,CA,A
90210,Beverly Hills,CA,A
90211,Beverly Hills,CA,A
90212,Beverly Hills,CA,A
90213,Beverly Hills,CA,A
92314,Big Bear City,CA,
92315,Big Bear Lake,CA,
92316,Bloomington,CA,
92317,Blue Jay,CA,
92225,Blythe,CA,
92226,Blythe,CA,
91902,Bonita,CA,
91908,Bonita,CA,
92003,Bonsall,CA,
92004,Borrego Springs,CA,
91905,Boulevard,CA,
93064,Brandeis,CA,
92821,Brea,CA,C
92822,Brea,CA,C
92823,Brea,CA,C
92318,Bryn Mawr,CA,
93427,Buellton,CA,
90620,Buena Park,CA,C
90621,Buena Park,CA,C
90622,Buena Park,CA,C
90624,Buena Park,CA,C
91501,Burbank,CA,B
91502,Burbank,CA,B
91503,Burbank,CA,B
91504,Burbank,CA,B
91505,Burbank,CA,B
91506,Burbank,CA,B
91507,Burbank,CA,B
91508,Burbank,CA,B
91510,Burbank,CA,B
91521,Burbank,CA,B
91522,Burbank,CA,B
91523,Burbank,CA,B
91526,Burbank,CA,B
92230,Cabazon,CA,
91302,Calabasas,CA,
91372,Calabasas,CA,
92320,Calimesa,CA,
93010,Camarillo,CA,
93011,Camarillo,CA,
93012,Camarillo,CA,
93428,Cambria,CA,
92055,Camp Pendleton,CA,
91906,Campo,CA,
91303,Canoga Park,CA,B
91304,Canoga Park,CA,B
91305,Canoga Park,CA,B
91309,Canoga Park,CA,B
91351,Canyon Country,CA,
91386,Canyon Country,CA,
91387,Canyon Country,CA,
92624,Capistrano Beach,CA,
92007,Cardiff by the Sea,CA,
92008,Carlsbad,CA,
92009,Carlsbad,CA,
92010,Carlsbad,CA,
92011,Carlsbad,CA,
92013,Carlsbad,CA,
92018,Carlsbad,CA,
93013,Carpinteria,CA,
93014,Carpinteria,CA,
90745,Carson,CA,B
90746,Carson,CA,B
90747,Carson,CA,B
90749,Carson,CA,B
90895,Carson,CA,B
93429,Casmalia,CA,
91310,Castaic,CA,
91384,Castaic,CA,
92234,Cathedral City,CA,
92235,Cathedral City,CA,
93430,Cayucos,CA,
92321,Cedar Glen,CA,
92322,Cedarpines Park,CA,
90067,Century City,CA,A
90703,Cerritos,CA,B
91311,Chatsworth,CA,B
91313,Chatsworth,CA,B
91708,Chino,CA,G
91710,Chino,CA,G
91709,Chino Hills,CA,G
91909,Chula Vista,CA,
91910,Chula Vista,CA,
91911,Chula Vista,CA,
91912,Chula Vista,CA,
91913,Chula Vista,CA,
91914,Chula Vista,CA,
91915,Chula Vista,CA,
91921,Chula Vista,CA,
92323,Cima,CA,
91714,City of Industry,CA,B
91715,City of Industry,CA,B
91716,City of Industry,CA,B
91711,Claremont,CA,G
92236,Coachella,CA,
92324,Colton,CA,G
90220,Compton,CA,A
90221,Compton,CA,A
90222,Compton,CA,A
90223,Compton,CA,A
90224,Compton,CA,A
92877,Corona,CA,G
92878,Corona,CA,G
92879,Corona,CA,G
92880,Corona,CA,G
92881,Corona,CA,G
92882,Corona,CA,G
92883,Corona,CA,G
92625,Corona del Mar,CA,F
92118,Coronado,CA,
92178,Coronado,CA,
92626,Costa Mesa,CA,C
92627,Costa Mesa,CA,C
92628,Costa Mesa,CA,C
91722,Covina,CA,B
91723,Covina,CA,B
91724,Covina,CA,B
92325,Crestline,CA,
93432,Creston,CA,
90230,Culver City,CA,A
90231,Culver City,CA,A
90232,Culver City,CA,A
90233,Culver City,CA,A
90630,Cypress,CA,C
92327,Daggett,CA,
92629,Dana Point,CA,F
92014,Del Mar,CA,
91916,Descanso,CA,
92239,Desert Center,CA,
92240,Desert Hot Springs,CA,
92241,Desert Hot Springs,CA,
91765,Diamond Bar,CA,C
90090,Dodgertown,CA,
90239,Downey,CA,B
90240,Downey,CA,B
90241,Downey,CA,B
90242,Downey,CA,B
91008,Duarte,CA,B
91009,Duarte,CA,B
91010,Duarte,CA,B
91917,Dulzura,CA,
92242,Earp,CA,
92650,East Irvine,CA,
92019,El Cajon,CA,
92020,El Cajon,CA,
92021,El Cajon,CA,
92022,El Cajon,CA,
91731,El Monte,CA,B
91732,El Monte,CA,B
91734,El Monte,CA,B
91735,El Monte,CA,B
90245,El Segundo,CA,A
92609,El Toro,CA,F
92023,Encinitas,CA,
92024,Encinitas,CA,
91316,Encino,CA,B
91416,Encino,CA,B
91426,Encino,CA,B
91436,Encino,CA,B
92025,Escondido,CA,
92026,Escondido,CA,
92027,Escondido,CA,
92029,Escondido,CA,
92030,Escondido,CA,
92033,Escondido,CA,
92046,Escondido,CA,
92332,Essex,CA,
92028,Fallbrook,CA,
92088,Fallbrook,CA,
92333,Fawnskin,CA,
93015,Fillmore,CA,
93016,Fillmore,CA,
92331,Fontana,CA,G
92334,Fontana,CA,G
92335,Fontana,CA,G
92336,Fontana,CA,G
92337,Fontana,CA,G
92610,Foothill Ranch,CA,F
92339,Forest Falls,CA,
92310,Fort Irwin,CA,
92708,Fountain Valley,CA,C
92728,Fountain Valley,CA,C
92831,Fullerton,CA,C
92832,Fullerton,CA,C
92833,Fullerton,CA,C
92834,Fullerton,CA,C
92835,Fullerton,CA,C
92836,Fullerton,CA,C
92837,Fullerton,CA,C
92838,Fullerton,CA,C
92840,Garden Grove,CA,C
92841,Garden Grove,CA,C
92842,Garden Grove,CA,C
92843,Garden Grove,CA,C
92844,Garden Grove,CA,C
92845,Garden Grove,CA,C
92846,Garden Grove,CA,C
90247,Gardena,CA,A
90248,Gardena,CA,A
90249,Gardena,CA,A
91201,Glendale,CA,B
91202,Glendale,CA,B
91203,Glendale,CA,B
91204,Glendale,CA,B
91205,Glendale,CA,B
91206,Glendale,CA,B
91207,Glendale,CA,B
91208,Glendale,CA,B
91209,Glendale,CA,B
91210,Glendale,CA,B
91221,Glendale,CA,B
91222,Glendale,CA,B
91225,Glendale,CA,B
91226,Glendale,CA,B
91740,Glendora,CA,C
91741,Glendora,CA,C
93116,Goleta,CA,
93117,Goleta,CA,
93118,Goleta,CA,
93199,Goleta,CA,
91344,Granada Hills,CA,B
91394,Granada Hills,CA,B
92313,Grand Terrace,CA,B
92341,Green Valley Lake,CA,
93433,Grover Beach,CA,
93483,Grover Beach,CA,
93434,Guadalupe,CA,
91743,Guasti,CA,
91931,Guatay,CA,
91745,Hacienda Heights,CA,B
90710,Harbor City,CA,B
93435,Harmony,CA,
90716,Hawaiian Gardens,CA,B
90250,Hawthorne,CA,A
90251,Hawthorne,CA,A
92342,Helendale,CA,
92543,Hemet,CA,
92544,Hemet,CA,
92545,Hemet,CA,
92546,Hemet,CA,
90254,Hermosa Beach,CA,A
92340,Hesperia,CA,
92344,Hesperia,CA,
92345,Hesperia,CA,
91361,Hidden Valley,CA,
92346,Highland,CA,
92347,Hinkley,CA,
92548,Homeland,CA,
92605,Huntington Beach,CA,C
92615,Huntington Beach,CA,C
92646,Huntington Beach,CA,C
92647,Huntington Beach,CA,C
92648,Huntington Beach,CA,C
92649,Huntington Beach,CA,C
90255,Huntington Park,CA,A
92549,Idyllwild,CA,
91932,Imperial Beach,CA,
91933,Imperial Beach,CA,
92210,Indian Wells,CA,
92201,Indio,CA,
92202,Indio,CA,
92203,Indio,CA,
90301,Inglewood,CA,A
90302,Inglewood,CA,A
90303,Inglewood,CA,A
90304,Inglewood,CA,A
90305,Inglewood,CA,A
90306,Inglewood,CA,A
90307,Inglewood,CA,A
90308,Inglewood,CA,A
90309,Inglewood,CA,A
90310,Inglewood,CA,A
90311,Inglewood,CA,A
90312,Inglewood,CA,A
92602,Irvine,CA,C
92603,Irvine,CA,C
92604,Irvine,CA,C
92606,Irvine,CA,C
92612,Irvine,CA,C
92614,Irvine,CA,C
92616,Irvine,CA,C
92617,Irvine,CA,C
92618,Irvine,CA,C
92619,Irvine,CA,C
92620,Irvine,CA,C
92623,Irvine,CA,C
92697,Irvine,CA,C
91934,Jacumba,CA,
91935,Jamul,CA,
92252,Joshua Tree,CA,
92036,Julian,CA,
91011,La Canada Flintridge,CA,C
91012,La Canada Flintridge,CA,C
91214,La Crescenta,CA,B
91224,La Crescenta,CA,B
90631,La Habra,CA,B
90632,La Habra,CA,B
90633,La Habra,CA,B
92037,La Jolla,CA,
92038,La Jolla,CA,
92039,La Jolla,CA,
92092,La Jolla,CA,
92093,La Jolla,CA,
91941,La Mesa,CA,
91942,La Mesa,CA,
91943,La Mesa,CA,
91944,La Mesa,CA,
90637,La Mirada,CA,B
90638,La Mirada,CA,B
90639,La Mirada,CA,B
90623,La Palma,CA,
91744,La Puente,CA,B
91746,La Puente,CA,B
91747,La Puente,CA,B
91749,La Puente,CA,B
92247,La Quinta,CA,
92248,La Quinta,CA,
92253,La Quinta,CA,
91750,La Verne,CA,C
92694,Ladera Ranch ,CA,
92651,Laguna Beach,CA,E
92652,Laguna Beach,CA,E
92637,Laguna Hills,CA,E
92653,Laguna Hills,CA,E
92654,Laguna Hills,CA,E
92607,Laguna Niguel,CA,F
92677,Laguna Niguel,CA,F
92637,Laguna Woods ,CA,
92352,Lake Arrowhead,CA,
92530,Lake Elsinore,CA,
92531,Lake Elsinore,CA,
92532,Lake Elsinore,CA,
92630,Lake Forest,CA,
93532,Lake Hughes,CA,
91361,Lake Sherwood,CA,
92040,Lakeside,CA,
90711,Lakewood,CA,B
90712,Lakewood,CA,B
90713,Lakewood,CA,B
90714,Lakewood,CA,B
90715,Lakewood,CA,B
93534,Lancaster,CA,
93535,Lancaster,CA,
93536,Lancaster,CA,
93539,Lancaster,CA,
93584,Lancaster,CA,
93586,Lancaster,CA,
92285,Landers,CA,
90260,Lawndale,CA,A
90261,Lawndale,CA,A
91945,Lemon Grove,CA,
91946,Lemon Grove,CA,
93543,Littlerock,CA,
93544,Llano,CA,
92350,Loma Linda,CA,G
92354,Loma Linda,CA,G
92357,Loma Linda,CA,G
90717,Lomita,CA,B
93436,Lompoc,CA,
93437,Lompoc,CA,
93438,Lompoc,CA,
90801,Long Beach,CA,B
90802,Long Beach,CA,B
90803,Long Beach,CA,B
90804,Long Beach,CA,B
90805,Long Beach,CA,B
90806,Long Beach,CA,B
90807,Long Beach,CA,B
90808,Long Beach,CA,B
90809,Long Beach,CA,B
90810,Long Beach,CA,B
90813,Long Beach,CA,B
90814,Long Beach,CA,B
90815,Long Beach,CA,B
90822,Long Beach,CA,B
90831,Long Beach,CA,B
90832,Long Beach,CA,B
