zipCode,city,state,zone
90001,Los Angeles,CA,A
90002,Los Angeles,CA,A
90003,Los Angeles,CA,A
90004,Los Angeles,CA,A
90005,Los Angeles,CA,A
90006,Los Angeles,CA,A
90007,Los Angeles,CA,A
90008,Los Angeles,CA,A
90009,Los Angeles,CA,A
90010,Los Angeles,CA,A
90011,Los Angeles,CA,A
90012,Los Angeles,CA,A
90013,Los Angeles,CA,A
90014,Los Angeles,CA,A
90015,Los Angeles,CA,A
90016,Los Angeles,CA,A
90017,Los Angeles,CA,A
90018,Los Angeles,CA,A
90019,Los Angeles,CA,A
90020,Los Angeles,CA,A
90021,Los Angeles,CA,A
90022,Los Angeles,CA,A
90023,Los Angeles,CA,A
90024,Los Angeles,CA,A
90025,Los Angeles,CA,A
90026,Los Angeles,CA,A
90027,Los Angeles,CA,A
90028,Los Angeles,CA,A
90029,Los Angeles,CA,A
90030,Los Angeles,CA,A
90031,Los Angeles,CA,A
90032,Los Angeles,CA,A
90033,Los Angeles,CA,A
90034,Los Angeles,CA,A
90035,Los Angeles,CA,A
90036,Los Angeles,CA,A
90037,Los Angeles,CA,A
90038,Los Angeles,CA,A
90039,Los Angeles,CA,A
90040,Los Angeles,CA,A
90041,Los Angeles,CA,A
90042,Los Angeles,CA,A
90043,Los Angeles,CA,A
90044,Los Angeles,CA,A
90045,Los Angeles,CA,A
90046,Los Angeles,CA,A
90047,Los Angeles,CA,A
90048,Los Angeles,CA,A
90049,Los Angeles,CA,A
90050,Los Angeles,CA,A
90051,Los Angeles,CA,A
90052,Los Angeles,CA,A
90053,Los Angeles,CA,A
90054,Los Angeles,CA,A
90055,Los Angeles,CA,A
90056,Los Angeles,CA,A
90057,Los Angeles,CA,A
90058,Los Angeles,CA,A
90059,Los Angeles,CA,A
90060,Los Angeles,CA,A
90061,Los Angeles,CA,A
90062,Los Angeles,CA,A
90063,Los Angeles,CA,A
90064,Los Angeles,CA,A
90065,Los Angeles,CA,A
90066,Los Angeles,CA,A
90067,Century City,CA,A
90067,Los Angeles ,CA,A
90068,Los Angeles,CA,A
90069,West Hollywood,CA,A
90070,Los Angeles,CA,A
90071,Los Angeles,CA,A
90072,Los Angeles,CA,A
90073,Los Angeles,CA,A
90074,Los Angeles,CA,A
90075,Los Angeles,CA,A
90076,Los Angeles,CA,A
90077,Los Angeles,CA,A
90078,Los Angeles,CA,A
90079,Los Angeles,CA,A
90080,Los Angeles,CA,A
90081,Los Angeles,CA,A
90082,Los Angeles,CA,A
90083,Los Angeles,CA,A
90084,Los Angeles,CA,A
90086,Los Angeles,CA,A
90087,Los Angeles,CA,A
90088,Los Angeles,CA,A
90089,Los Angeles,CA,A
90090,Dodgertown,CA,
90091,Los Angeles,CA,A
90093,Los Angeles,CA,A
90094,Los Angeles,CA,A
90094,Playa Vista ,CA,A
90095,Los Angeles,CA,A
90096,Los Angeles,CA,A
90099,Los Angeles,CA,A
90189,Los Angeles,CA,A
90201,Bell,CA,A
90201,Bell Gardens ,CA,
90202,Bell ,CA,A
90202,Bell Gardens,CA,
90209,Beverly Hills,CA,B
90210,Beverly Hills,CA,B
90211,Beverly Hills,CA,B
90212,Beverly Hills,CA,B
90213,Beverly Hills,CA,B
90220,Compton,CA,A
