zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
93510,Acton,CA,,,,,
92301,Adelanto,CA,,,,,
91301,Agoura Hills,CA,,,,,
91376,Agoura Hills,CA,,,,,
92536,Aguanga,CA,,,,,
91801,Alhambra,CA,185,,,,
91802,Alhambra,CA,185,,,,
91803,Alhambra,CA,185,,,,
91804,Alhambra,CA,185,,,,
91896,Alhambra,CA,185,,,,
91899,Alhambra,CA,185,,,,
92656,Aliso Viejo,CA,,,,,
92698,Aliso Viejo,CA,,,,,
91901,Alpine,CA,,,,,
91903,Alpine,CA,,,,,
91701,Alta Loma,CA,,,,,
91737,Alta Loma,CA,,,,,
91001,Altadena,CA,230,85,,,
91003,Altadena,CA,230,85,,,
92304,Amboy,CA,,,,,
92801,Anaheim,CA,190,85,,,
92802,Anaheim,CA,190,85,,,
92803,Anaheim,CA,190,85,,,
92804,Anaheim,CA,190,85,,,
92805,Anaheim,CA,190,85,,,
92806,Anaheim,CA,190,85,,,
92807,Anaheim,CA,190,85,,,
92808,Anaheim,CA,190,85,,,
92809,Anaheim,CA,190,85,,,
92812,Anaheim,CA,190,85,,,
92814,Anaheim,CA,190,85,,,
92815,Anaheim,CA,190,85,,,
92816,Anaheim,CA,190,85,,,
92817,Anaheim,CA,190,85,,,
92825,Anaheim,CA,190,85,,,
92850,Anaheim,CA,190,85,,,
92899,Anaheim,CA,190,85,,,
92305,Angelus Oaks,CA,,,,,
92539,Anza,CA,,,,,
92307,Apple Valley,CA,550,550,,,
92308,Apple Valley,CA,550,550,,,
91006,Arcadia,CA,195,85,,,
91007,Arcadia,CA,195,85,,,
91066,Arcadia,CA,195,85,,,
91077,Arcadia,CA,195,85,,,
93420,Arroyo Grande,CA,,,,,
93421,Arroyo Grande,CA,,,,,
90701,Artesia,CA,160,85,,,
90702,Artesia,CA,160,85,,,
93422,Atascadero,CA,,,,,
93423,Atascadero,CA,,,,,
92811,Atwood,CA,,,,,
90704,Avalon,CA,,,,,
93424,Avila Beach,CA,,,,,
91702,Azusa,CA,270,85,,,
92309,Baker,CA,,,,,
91706,Baldwin Park,CA,200,,,,
91706,Irwindale,CA,200,,,,
92220,Banning,CA,350,,,,
92311,Barstow,CA,,,,,
92312,Barstow,CA,,,,,
92223,Beaumont,CA,340,,,,
90201,Bell,CA,170,,,,
90202,Bell ,CA,170,,,,
90202,Bell Gardens,CA,170,,,,
90201,Bell Gardens ,CA,170,,,,
90706,Bellflower,CA,170,,,,
90707,Bellflower,CA,170,,,,
90209,Beverly Hills,CA,210,210,,,
90210,Beverly Hills,CA,210,210,,,
90211,Beverly Hills,CA,210,210,,,
90212,Beverly Hills,CA,210,210,,,
90213,Beverly Hills,CA,210,210,,,
92314,Big Bear City,CA,,,,,
92315,Big Bear Lake,CA,,,,,
92316,Bloomington,CA,,,,,
92317,Blue Jay,CA,,,,,
92225,Blythe,CA,,,,,
92226,Blythe,CA,,,,,
91902,Bonita,CA,,,,,
91908,Bonita,CA,,,,,
92003,Bonsall,CA,,,,,
92004,Borrego Springs,CA,,,,,
91905,Boulevard,CA,,,,,
93064,Brandeis,CA,,,,,
92821,Brea,CA,200,85,,,
92822,Brea,CA,200,85,,,
92823,Brea,CA,200,85,,,
92318,Bryn Mawr,CA,,,,,
93427,Buellton,CA,,,,,
90620,Buena Park,CA,170,85,,,
90621,Buena Park,CA,170,85,,,
90622,Buena Park,CA,170,85,,,
90624,Buena Park,CA,170,85,,,
91501,Burbank,CA,220,85,,,
91502,Burbank,CA,220,85,,,
91503,Burbank,CA,220,85,,,
91504,Burbank,CA,220,85,,,
91505,Burbank,CA,220,85,,,
91506,Burbank,CA,220,85,,,
91507,Burbank,CA,220,85,,,
91508,Burbank,CA,220,85,,,
91510,Burbank,CA,220,85,,,
91521,Burbank,CA,220,85,,,
91522,Burbank,CA,220,85,,,
91523,Burbank,CA,220,85,,,
91526,Burbank,CA,220,85,,,
92230,Cabazon,CA,,,,,
91302,Calabasas,CA,285,285,,,
91372,Calabasas,CA,285,285,,,
92320,Calimesa,CA,,,,,
93010,Camarillo,CA,360,360,,,
93011,Camarillo,CA,360,360,,,
93012,Camarillo,CA,360,360,,,
93428,Cambria,CA,,,,,
92055,Camp Pendleton,CA,,,,,
91906,Campo,CA,,,,,
91303,Canoga Park,CA,260,130,,,
91304,Canoga Park,CA,260,130,,,
91305,Canoga Park,CA,260,130,,,
91309,Canoga Park,CA,260,130,,,
91351,Canyon Country,CA,320,320,,,
91386,Canyon Country,CA,320,320,,,
91387,Canyon Country,CA,320,320,,,
92624,Capistrano Beach,CA,,,,,
92007,Cardiff by the Sea,CA,,,,,
92008,Carlsbad,CA,400,400,,,
92009,Carlsbad,CA,400,400,,,
92010,Carlsbad,CA,400,400,,,
92011,Carlsbad,CA,400,400,,,
92013,Carlsbad,CA,400,400,,,
92018,Carlsbad,CA,400,400,,,
93013,Carpinteria,CA,,,,,
93014,Carpinteria,CA,,,,,
90745,Carson,CA,155,,,,
90746,Carson,CA,155,,,,
90747,Carson,CA,155,,,,
90749,Carson,CA,155,,,,
90895,Carson,CA,155,,,,
93429,Casmalia,CA,,,,,
91310,Castaic,CA,,,,,
91384,Castaic,CA,,,,,
92234,Cathedral City,CA,,,,,
92235,Cathedral City,CA,,,,,
93430,Cayucos,CA,,,,,
92321,Cedar Glen,CA,,,,,
92322,Cedarpines Park,CA,,,,,
90067,Century City,CA,,,,,
90703,Cerritos,CA,170,85,,,
91311,Chatsworth,CA,260,130,,,
91313,Chatsworth,CA,260,130,,,
91708,Chino,CA,260,85,,,
91710,Chino,CA,260,85,,,
91709,Chino Hills,CA,260,85,,,
91909,Chula Vista,CA,485,485,,,
91910,Chula Vista,CA,485,485,,,
91911,Chula Vista,CA,485,485,,,
91912,Chula Vista,CA,485,485,,,
91913,Chula Vista,CA,485,485,,,
91914,Chula Vista,CA,485,485,,,
91915,Chula Vista,CA,485,485,,,
91921,Chula Vista,CA,485,485,,,
92323,Cima,CA,,,,,
91714,City of Industry,CA,195,,,,
91715,City of Industry,CA,195,,,,
91716,City of Industry,CA,195,,,,
91711,Claremont,CA,240,85,,,
92236,Coachella,CA,,,,,
92324,Colton,CA,300,85,,,
90220,Compton,CA,155,,,,
90221,Compton,CA,155,,,,
90222,Compton,CA,155,,,,
90223,Compton,CA,155,,,,
90224,Compton,CA,155,,,,
92877,Corona,CA,275,138,,,
92878,Corona,CA,275,138,,,
92879,Corona,CA,275,138,,,
92880,Corona,CA,275,138,,,
92881,Corona,CA,275,138,,,
92882,Corona,CA,275,138,,,
92883,Corona,CA,275,138,,,
92625,Corona del Mar,CA,320,320,,,
92118,Coronado,CA,,,,,
92178,Coronado,CA,,,,,
92626,Costa Mesa,CA,210,85,,,
92627,Costa Mesa,CA,210,85,,,
92628,Costa Mesa,CA,210,85,,,
91722,Covina,CA,215,85,,,
91723,Covina,CA,215,85,,,
91724,Covina,CA,215,85,,,
92325,Crestline,CA,,,,,
93432,Creston,CA,,,,,
90230,Culver City,CA,210,85,,,
90231,Culver City,CA,210,85,,,
90232,Culver City,CA,210,85,,,
90233,Culver City,CA,210,85,,,
90630,Cypress,CA,170,85,,,
92327,Daggett,CA,,,,,
92629,Dana Point,CA,,,,,
92014,Del Mar,CA,,,,,
91916,Descanso,CA,,,,,
92239,Desert Center,CA,,,,,
92240,Desert Hot Springs,CA,,,,,
92241,Desert Hot Springs,CA,,,,,
91765,Diamond Bar,CA,210,85,,,
90090,Dodgertown,CA,,,,,
90239,Downey,CA,170,,,,
90240,Downey,CA,170,,,,
90241,Downey,CA,170,,,,
90242,Downey,CA,170,,,,
91008,Duarte,CA,250,85,,,
91009,Duarte,CA,250,85,,,
91010,Duarte,CA,250,85,,,
91917,Dulzura,CA,,,,,
92242,Earp,CA,,,,,
92650,East Irvine,CA,,,,,
92019,El Cajon,CA,500,500,,,
92020,El Cajon,CA,500,500,,,
92021,El Cajon,CA,500,500,,,
92022,El Cajon,CA,500,500,,,
91731,El Monte,CA,190,,,,
91732,El Monte,CA,190,,,,
91734,El Monte,CA,190,,,,
91735,El Monte,CA,190,,,,
90245,El Segundo,CA,185,,,,
92609,El Toro,CA,300,300,,,
92023,Encinitas,CA,410,410,,,
92024,Encinitas,CA,410,410,,,
91316,Encino,CA,240,120,,,
91416,Encino,CA,240,120,,,
91426,Encino,CA,240,120,,,
91436,Encino,CA,240,120,,,
92025,Escondido,CA,420,420,,,
92026,Escondido,CA,420,420,,,
92027,Escondido,CA,420,420,,,
92029,Escondido,CA,420,420,,,
92030,Escondido,CA,420,420,,,
92033,Escondido,CA,420,420,,,
92046,Escondido,CA,420,420,,,
92332,Essex,CA,,,,,
92028,Fallbrook,CA,330,330,,,
92088,Fallbrook,CA,330,330,,,
92333,Fawnskin,CA,,,,,
93015,Fillmore,CA,,,,,
93016,Fillmore,CA,,,,,
92331,Fontana,CA,300,85,,,
92334,Fontana,CA,300,85,,,
92335,Fontana,CA,300,85,,,
92336,Fontana,CA,300,85,,,
92337,Fontana,CA,300,85,,,
92610,Foothill Ranch,CA,290,145,,,
92339,Forest Falls,CA,,,,,
92310,Fort Irwin,CA,,,,,
92708,Fountain Valley,CA,190,85,,,
92728,Fountain Valley,CA,190,85,,,
92831,Fullerton,CA,200,85,,,
92832,Fullerton,CA,200,85,,,
92833,Fullerton,CA,200,85,,,
92834,Fullerton,CA,200,85,,,
92835,Fullerton,CA,200,85,,,
92836,Fullerton,CA,200,85,,,
92837,Fullerton,CA,200,85,,,
92838,Fullerton,CA,200,85,,,
92840,Garden Grove,CA,180,85,,,
92841,Garden Grove,CA,180,85,,,
92842,Garden Grove,CA,180,85,,,
92843,Garden Grove,CA,180,85,,,
92844,Garden Grove,CA,180,85,,,
92845,Garden Grove,CA,180,85,,,
92846,Garden Grove,CA,180,85,,,
90247,Gardena,CA,160,,,,
90248,Gardena,CA,160,,,,
90249,Gardena,CA,160,,,,
91201,Glendale,CA,220,85,,,
91202,Glendale,CA,220,85,,,
91203,Glendale,CA,220,85,,,
91204,Glendale,CA,220,85,,,
91205,Glendale,CA,220,85,,,
91206,Glendale,CA,220,85,,,
91207,Glendale,CA,220,85,,,
91208,Glendale,CA,220,85,,,
91209,Glendale,CA,220,85,,,
91210,Glendale,CA,220,85,,,
91221,Glendale,CA,220,85,,,
91222,Glendale,CA,220,85,,,
91225,Glendale,CA,220,85,,,
91226,Glendale,CA,220,85,,,
91740,Glendora,CA,250,85,,,
91741,Glendora,CA,250,85,,,
93116,Goleta,CA,460,460,,,
93117,Goleta,CA,460,460,,,
93118,Goleta,CA,460,460,,,
93199,Goleta,CA,460,460,,,
91344,Granada Hills,CA,230,85,,,
91394,Granada Hills,CA,230,85,,,
92313,Grand Terrace,CA,,,,,
92341,Green Valley Lake,CA,,,,,
93433,Grover Beach,CA,,,,,
93483,Grover Beach,CA,,,,,
93434,Guadalupe,CA,,,,,
91743,Guasti,CA,,,,,
91931,Guatay,CA,,,,,
91745,Hacienda Heights,CA,195,,,,
90710,Harbor City,CA,170,85,,,
93435,Harmony,CA,,,,,
90716,Hawaiian Gardens,CA,170,85,,,
90250,Hawthorne,CA,170,85,,,
90251,Hawthorne,CA,170,85,,,
92342,Helendale,CA,,,,,
92543,Hemet,CA,,,,,
92544,Hemet,CA,,,,,
92545,Hemet,CA,,,,,
92546,Hemet,CA,,,,,
90254,Hermosa Beach,CA,170,85,,,
92340,Hesperia,CA,,,,,
92344,Hesperia,CA,,,,,
92345,Hesperia,CA,,,,,
91361,Hidden Valley,CA,,,,,
92346,Highland,CA,320,320,,,
92347,Hinkley,CA,,,,,
92548,Homeland,CA,,,,,
92605,Huntington Beach,CA,190,85,,,
92615,Huntington Beach,CA,190,85,,,
92646,Huntington Beach,CA,190,85,,,
92647,Huntington Beach,CA,190,85,,,
92648,Huntington Beach,CA,190,85,,,
