zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
93510,Acton,CA,,,,,
92301,Adelanto,CA,450,,,,
91301,Agoura Hills,CA,320,,,,
91376,Agoura Hills,CA,320,,,,
92536,Aguanga,CA,,,,,
91801,Alhambra,CA,190,,,,
91802,Alhambra,CA,190,,,,
91803,Alhambra,CA,190,,,,
91804,Alhambra,CA,190,,,,
91896,Alhambra,CA,190,,,,
91899,Alhambra,CA,190,,,,
92656,Aliso Viejo,CA,,,,,
92698,Aliso Viejo,CA,,,,,
91901,Alpine,CA,,,,,
91903,Alpine,CA,,,,,
91701,Alta Loma,CA,290,,,,
91737,Alta Loma,CA,290,,,,
91001,Altadena,CA,220,,,,
91003,Altadena,CA,220,,,,
92304,Amboy,CA,,,,,
92801,Anaheim,CA,230,,,,
92802,Anaheim,CA,230,,,,
92803,Anaheim,CA,230,,,,
92804,Anaheim,CA,230,,,,
92805,Anaheim,CA,230,,,,
92806,Anaheim,CA,230,,,,
92807,Anaheim,CA,230,,,,
92808,Anaheim,CA,230,,,,
92809,Anaheim,CA,230,,,,
92812,Anaheim,CA,230,,,,
92814,Anaheim,CA,230,,,,
92815,Anaheim,CA,230,,,,
92816,Anaheim,CA,230,,,,
92817,Anaheim,CA,230,,,,
92825,Anaheim,CA,230,,,,
92850,Anaheim,CA,230,,,,
92899,Anaheim,CA,230,,,,
92305,Angelus Oaks,CA,,,,,
92539,Anza,CA,,,,,
92307,Apple Valley,CA,,,,,
92308,Apple Valley,CA,,,,,
91006,Arcadia,CA,195,,,,
91007,Arcadia,CA,195,,,,
91066,Arcadia,CA,195,,,,
91077,Arcadia,CA,195,,,,
91331,Arleta,CA,250,50,,,
91331,Arleta,CA,250,50,,,
92503,Arlington,CA,290,120,,,
93420,Arroyo Grande,CA,,,,,
93421,Arroyo Grande,CA,,,,,
90701,Artesia,CA,175,,,,
90702,Artesia,CA,175,,,,
93422,Atascadero,CA,,,,,
93423,Atascadero,CA,,,,,
92811,Atwood,CA,,,,,
90704,Avalon,CA,,,,,
93424,Avila Beach,CA,,,,,
91702,Azusa,CA,195,,,,
92309,Baker,CA,,,,,
91706,Baldwin Park,CA,195,,,,
92220,Banning,CA,500,,,,
92311,Barstow,CA,,,,,
92312,Barstow,CA,,,,,
92223,Beaumont,CA,420,,,,
90201,Bell,CA,185,,,,
90202,Bell ,CA,185,,,,
90202,Bell Gardens,CA,185,,,,
90201,Bell Gardens ,CA,185,,,,
90706,Bellflower,CA,180,,,,
90707,Bellflower,CA,180,,,,
90209,Beverly Hills,CA,205,,,,
90210,Beverly Hills,CA,205,,,,
90211,Beverly Hills,CA,205,,,,
90212,Beverly Hills,CA,205,,,,
90213,Beverly Hills,CA,205,,,,
92314,Big Bear City,CA,,,,,
92315,Big Bear Lake,CA,,,,,
92316,Bloomington,CA,290,120,,,
92317,Blue Jay,CA,,,,,
92225,Blythe,CA,,,,,
92226,Blythe,CA,,,,,
91902,Bonita,CA,,,,,
91908,Bonita,CA,,,,,
92003,Bonsall,CA,,,,,
92004,Borrego Springs,CA,,,,,
91905,Boulevard,CA,,,,,
93064,Brandeis,CA,,,,,
92821,Brea,CA,195,,,,
92822,Brea,CA,195,,,,
92823,Brea,CA,195,,,,
92318,Bryn Mawr,CA,,,,,
93427,Buellton,CA,,,,,
90620,Buena Park,CA,195,,,,
90621,Buena Park,CA,195,,,,
90622,Buena Park,CA,195,,,,
90624,Buena Park,CA,195,,,,
91501,Burbank,CA,230,,,,
91502,Burbank,CA,230,,,,
91503,Burbank,CA,230,,,,
91504,Burbank,CA,230,,,,
91505,Burbank,CA,230,,,,
91506,Burbank,CA,230,,,,
91507,Burbank,CA,230,,,,
91508,Burbank,CA,230,,,,
91510,Burbank,CA,230,,,,
91521,Burbank,CA,230,,,,
91522,Burbank,CA,230,,,,
91523,Burbank,CA,230,,,,
91526,Burbank,CA,230,,,,
92230,Cabazon,CA,,,,,
91302,Calabasas,CA,340,,,,
91372,Calabasas,CA,340,,,,
92231,Calexico,CA,750,,,,
92232,Calexico,CA,750,,,,
92320,Calimesa,CA,,,,,
93010,Camarillo,CA,360,,,,
93011,Camarillo,CA,360,,,,
93012,Camarillo,CA,360,,,,
93428,Cambria,CA,,,,,
92055,Camp Pendleton,CA,,,,,
91906,Campo,CA,,,,,
91303,Canoga Park,CA,270,50,,,
91304,Canoga Park,CA,270,50,,,
91305,Canoga Park,CA,270,50,,,
91309,Canoga Park,CA,270,50,,,
91351,Canyon Country,CA,300,70,,,
91386,Canyon Country,CA,300,70,,,
91387,Canyon Country,CA,300,70,,,
92624,Capistrano Beach,CA,,,,,
92007,Cardiff by the Sea,CA,,,,,
92008,Carlsbad,CA,450,,,,
92009,Carlsbad,CA,450,,,,
92010,Carlsbad,CA,450,,,,
92011,Carlsbad,CA,450,,,,
92013,Carlsbad,CA,450,,,,
92018,Carlsbad,CA,450,,,,
93013,Carpinteria,CA,,,,,
93014,Carpinteria,CA,,,,,
90745,Carson,CA,150,,,,
90746,Carson,CA,150,,,,
90747,Carson,CA,150,,,,
90749,Carson,CA,150,,,,
90895,Carson,CA,150,,,,
93429,Casmalia,CA,,,,,
91310,Castaic,CA,320,,,,
91384,Castaic,CA,320,,,,
92234,Cathedral City,CA,450,,,,
92235,Cathedral City,CA,450,,,,
93430,Cayucos,CA,,,,,
92321,Cedar Glen,CA,,,,,
92322,Cedarpines Park,CA,,,,,
90067,Century City,CA,200,,,,
90703,Cerritos,CA,180,,,,
91311,Chatsworth,CA,270,,,,
91313,Chatsworth,CA,270,,,,
91708,Chino,CA,235,,,,
91710,Chino,CA,235,,,,
91709,Chino Hills,CA,235,,,,
91909,Chula Vista,CA,450,,,,
91910,Chula Vista,CA,450,,,,
91911,Chula Vista,CA,450,,,,
91912,Chula Vista,CA,450,,,,
91913,Chula Vista,CA,450,,,,
91914,Chula Vista,CA,450,,,,
91915,Chula Vista,CA,450,,,,
91921,Chula Vista,CA,450,,,,
92323,Cima,CA,,,,,
91714,City of Industry,CA,205,,,,
91715,City of Industry,CA,205,,,,
91716,City of Industry,CA,205,,,,
91711,Claremont,CA,225,40,,,
92236,Coachella,CA,,,,,
92324,Colton,CA,310,100,,,
90022,Commerce,CA,185,,,,
90023,Commerce,CA,185,,,,
90040,Commerce,CA,185,,,,
90091,Commerce,CA,185,,,,
90220,Compton,CA,150,,,,
90221,Compton,CA,150,,,,
90222,Compton,CA,150,,,,
90223,Compton,CA,150,,,,
90224,Compton,CA,150,,,,
92877,Corona,CA,280,70,,,
92878,Corona,CA,280,70,,,
92879,Corona,CA,280,70,,,
92880,Corona,CA,280,70,,,
92881,Corona,CA,280,70,,,
92882,Corona,CA,280,70,,,
92883,Corona,CA,280,70,,,
92625,Corona del Mar,CA,225,,,,
92118,Coronado,CA,,,,,
92178,Coronado,CA,,,,,
92626,Costa Mesa,CA,195,40,,,
92627,Costa Mesa,CA,195,40,,,
92628,Costa Mesa,CA,195,40,,,
91722,Covina,CA,210,40,,,
91723,Covina,CA,210,40,,,
91724,Covina,CA,210,40,,,
92325,Crestline,CA,,,,,
93432,Creston,CA,,,,,
90230,Culver City,CA,195,,,,
90231,Culver City,CA,195,,,,
90232,Culver City,CA,195,,,,
90233,Culver City,CA,195,,,,
90630,Cypress,CA,190,70,,,
92327,Daggett,CA,,,,,
92629,Dana Point,CA,290,,,,
92014,Del Mar,CA,410,,,,
91916,Descanso,CA,,,,,
92239,Desert Center,CA,,,,,
92240,Desert Hot Springs,CA,,,,,
92241,Desert Hot Springs,CA,,,,,
91765,Diamond Bar,CA,220,,,,
90090,Dodgertown,CA,,,,,
90239,Downey,CA,180,,,,
90240,Downey,CA,180,,,,
90241,Downey,CA,180,,,,
90242,Downey,CA,180,,,,
91008,Duarte,CA,195,30,,,
91009,Duarte,CA,195,30,,,
91010,Duarte,CA,195,30,,,
91917,Dulzura,CA,,,,,
90041,Eagle Rock,CA,195,,,,
92242,Earp,CA,,,,,
92650,East Irvine,CA,,,,,
92019,El Cajon,CA,480,,,,
92020,El Cajon,CA,480,,,,
92021,El Cajon,CA,480,,,,
92022,El Cajon,CA,480,,,,
91731,El Monte,CA,190,,,,
91732,El Monte,CA,190,,,,
91734,El Monte,CA,190,,,,
91735,El Monte,CA,190,,,,
90245,El Segundo,CA,175,,,,
92609,El Toro,CA,250,,,,
92023,Encinitas,CA,450,,,,
92024,Encinitas,CA,450,,,,
91316,Encino,CA,250,100,,,
91416,Encino,CA,250,100,,,
91426,Encino,CA,250,100,,,
91436,Encino,CA,250,100,,,
92025,Escondido,CA,390,,,,
92026,Escondido,CA,390,,,,
92027,Escondido,CA,390,,,,
92029,Escondido,CA,390,,,,
92030,Escondido,CA,390,,,,
92033,Escondido,CA,390,,,,
92046,Escondido,CA,390,,,,
92332,Essex,CA,,,,,
92028,Fallbrook,CA,350,,,,
92088,Fallbrook,CA,350,,,,
92333,Fawnskin,CA,,,,,
93015,Fillmore,CA,340,,,,
93016,Fillmore,CA,340,,,,
92331,Fontana,CA,300,,,,
92334,Fontana,CA,300,,,,
92335,Fontana,CA,300,,,,
92336,Fontana,CA,300,,,,
92337,Fontana,CA,300,,,,
92610,Foothill Ranch,CA,270,,,,
92339,Forest Falls,CA,,,,,
92310,Fort Irwin,CA,,,,,
92708,Fountain Valley,CA,190,,,,
92728,Fountain Valley,CA,190,,,,
92831,Fullerton,CA,185,40,,,
92832,Fullerton,CA,185,40,,,
92833,Fullerton,CA,185,40,,,
92834,Fullerton,CA,185,40,,,
92835,Fullerton,CA,185,40,,,
92836,Fullerton,CA,185,40,,,
92837,Fullerton,CA,185,40,,,
92838,Fullerton,CA,185,40,,,
92840,Garden Grove,CA,185,,,,
92841,Garden Grove,CA,185,,,,
92842,Garden Grove,CA,185,,,,
92843,Garden Grove,CA,185,,,,
92844,Garden Grove,CA,185,,,,
92845,Garden Grove,CA,185,,,,
92846,Garden Grove,CA,185,,,,
90247,Gardena,CA,160,,,,
90248,Gardena,CA,160,,,,
90249,Gardena,CA,160,,,,
91201,Glendale,CA,200,40,,,
91202,Glendale,CA,200,40,,,
91203,Glendale,CA,200,40,,,
91204,Glendale,CA,200,40,,,
91205,Glendale,CA,200,40,,,
91206,Glendale,CA,200,40,,,
91207,Glendale,CA,200,40,,,
91208,Glendale,CA,200,40,,,
91209,Glendale,CA,200,40,,,
91210,Glendale,CA,200,40,,,
91221,Glendale,CA,200,40,,,
91222,Glendale,CA,200,40,,,
91225,Glendale,CA,200,40,,,
91226,Glendale,CA,200,40,,,
91740,Glendora,CA,195,50,,,
91741,Glendora,CA,195,50,,,
93116,Goleta,CA,460,,,,
93117,Goleta,CA,460,,,,
93118,Goleta,CA,460,,,,
93199,Goleta,CA,460,,,,
91344,Granada Hills,CA,310,60,,,
91394,Granada Hills,CA,310,60,,,
92313,Grand Terrace,CA,290,,,,
92341,Green Valley Lake,CA,,,,,
93433,Grover Beach,CA,,,,,
93483,Grover Beach,CA,,,,,
93434,Guadalupe,CA,,,,,
91743,Guasti,CA,,,,,
91931,Guatay,CA,,,,,
91745,Hacienda Heights,CA,195,,,,
90710,Harbor City,CA,150,,,,
93435,Harmony,CA,,,,,
90716,Hawaiian Gardens,CA,190,,,,
90250,Hawthorne,CA,165,,,,
90251,Hawthorne,CA,165,,,,
92342,Helendale,CA,,,,,
92543,Hemet,CA,,,,,
92544,Hemet,CA,,,,,
92545,Hemet,CA,,,,,
92546,Hemet,CA,,,,,
90254,Hermosa Beach,CA,195,70,,,
92340,Hesperia,CA,,,,,
92344,Hesperia,CA,,,,,
92345,Hesperia,CA,,,,,
91361,Hidden Valley,CA,,,,,
92346,Highland,CA,350,,,,
90042,Highland Park,CA,195,,,,
92347,Hinkley,CA,,,,,
92548,Homeland,CA,,,,,
92605,Huntington Beach,CA,185,,,,
92615,Huntington Beach,CA,185,,,,
92646,Huntington Beach,CA,185,,,,
92647,Huntington Beach,CA,185,,,,
92648,Huntington Beach,CA,185,,,,
92649,Huntington Beach,CA,185,,,,
90255,Huntington Park,CA,185,,,,
92549,Idyllwild,CA,,,,,
91932,Imperial Beach,CA,,,,,
91933,Imperial Beach,CA,,,,,
92210,Indian Wells,CA,,,,,
92201,Indio,CA,500,,,,
92202,Indio,CA,500,,,,
92203,Indio,CA,500,,,,
90301,Inglewood,CA,175,,,,
90302,Inglewood,CA,175,,,,
90303,Inglewood,CA,175,,,,
90304,Inglewood,CA,175,,,,
90305,Inglewood,CA,175,,,,
90306,Inglewood,CA,175,,,,
90307,Inglewood,CA,175,,,,
90308,Inglewood,CA,175,,,,
90309,Inglewood,CA,175,,,,
90310,Inglewood,CA,175,,,,
90311,Inglewood,CA,175,,,,
90312,Inglewood,CA,175,,,,
92602,Irvine,CA,200,40,,,
92603,Irvine,CA,200,40,,,
92604,Irvine,CA,200,40,,,
92606,Irvine,CA,200,40,,,
92612,Irvine,CA,200,40,,,
92614,Irvine,CA,200,40,,,
92616,Irvine,CA,200,40,,,
92617,Irvine,CA,200,40,,,
92618,Irvine,CA,200,40,,,
92619,Irvine,CA,200,40,,,
92620,Irvine,CA,200,40,,,
92623,Irvine,CA,200,40,,,
92697,Irvine,CA,200,40,,,
91706,Irwindale,CA,,,,,
91706,Irwindale,CA,195,,,,
91934,Jacumba,CA,,,,,
91935,Jamul,CA,,,,,
92252,Joshua Tree,CA,,,,,
92036,Julian,CA,,,,,
91011,La Canada Flintridge,CA,,,,,
91012,La Canada Flintridge,CA,,,,,
91214,La Crescenta,CA,210,,,,
