zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
93510,Acton,CA,,,,,
92301,Adelanto,CA,,,,,
91301,Agoura Hills,CA,350,,,,
91376,Agoura Hills,CA,350,,,,
92536,Aguanga,CA,,,,,
91801,Alhambra,CA,200,,,,
91802,Alhambra,CA,200,,,,
91803,Alhambra,CA,200,,,,
91804,Alhambra,CA,200,,,,
91896,Alhambra,CA,200,,,,
91899,Alhambra,CA,200,,,,
92656,Aliso Viejo,CA,,,,,
92698,Aliso Viejo,CA,,,,,
91901,Alpine,CA,,,,,
91903,Alpine,CA,,,,,
91701,Alta Loma,CA,,,,,
91737,Alta Loma,CA,,,,,
91001,Altadena,CA,,,,,
91003,Altadena,CA,,,,,
92304,Amboy,CA,,,,,
92801,Anaheim,CA,200,,,,
92802,Anaheim,CA,200,,,,
92803,Anaheim,CA,200,,,,
92804,Anaheim,CA,200,,,,
92805,Anaheim,CA,200,,,,
92806,Anaheim,CA,200,,,,
92807,Anaheim,CA,200,,,,
92808,Anaheim,CA,200,,,,
92809,Anaheim,CA,200,,,,
92812,Anaheim,CA,200,,,,
92814,Anaheim,CA,200,,,,
92815,Anaheim,CA,200,,,,
92816,Anaheim,CA,200,,,,
92817,Anaheim,CA,200,,,,
92825,Anaheim,CA,200,,,,
92850,Anaheim,CA,200,,,,
92899,Anaheim,CA,200,,,,
92305,Angelus Oaks,CA,,,,,
92539,Anza,CA,,,,,
92307,Apple Valley,CA,,,,,
92308,Apple Valley,CA,,,,,
91006,Arcadia,CA,200,,,,
91007,Arcadia,CA,200,,,,
91066,Arcadia,CA,200,,,,
91077,Arcadia,CA,200,,,,
91331,Arleta,CA,,,,,
92503,Arlington,CA,,,,,
93420,Arroyo Grande,CA,,,,,
93421,Arroyo Grande,CA,,,,,
90701,Artesia,CA,175,,,,
90702,Artesia,CA,175,,,,
93203,Arvin,CA,,,,,
93422,Atascadero,CA,,,,,
93423,Atascadero,CA,,,,,
92811,Atwood,CA,,,,,
90704,Avalon,CA,,,,,
93424,Avila Beach,CA,,,,,
91702,Azusa,CA,210,,,,
92309,Baker,CA,,,,,
93301,Bakersfield,CA,620,,,,
93302,Bakersfield,CA,620,,,,
93303,Bakersfield,CA,620,,,,
93304,Bakersfield,CA,620,,,,
93305,Bakersfield,CA,620,,,,
93306,Bakersfield,CA,620,,,,
93307,Bakersfield,CA,620,,,,
93308,Bakersfield,CA,620,,,,
93309,Bakersfield,CA,620,,,,
93311,Bakersfield,CA,620,,,,
93312,Bakersfield,CA,620,,,,
93313,Bakersfield,CA,620,,,,
93314,Bakersfield,CA,620,,,,
93380,Bakersfield,CA,620,,,,
93383,Bakersfield,CA,620,,,,
93384,Bakersfield,CA,620,,,,
93385,Bakersfield,CA,620,,,,
93386,Bakersfield,CA,620,,,,
93387,Bakersfield,CA,620,,,,
93388,Bakersfield,CA,620,,,,
93389,Bakersfield,CA,620,,,,
93390,Bakersfield,CA,620,,,,
91706,Baldwin Park,CA,200,,,,
92220,Banning,CA,,,,,
92311,Barstow,CA,,,,,
92312,Barstow,CA,,,,,
92223,Beaumont,CA,,,,,
90201,Bell,CA,175,,,,
90202,Bell ,CA,175,,,,
90202,Bell Gardens,CA,190,,,,
90201,Bell Gardens ,CA,190,,,,
90706,Bellflower,CA,190,,,,
90707,Bellflower,CA,190,,,,
90209,Beverly Hills,CA,220,,,,
90210,Beverly Hills,CA,220,,,,
90211,Beverly Hills,CA,220,,,,
90212,Beverly Hills,CA,220,,,,
90213,Beverly Hills,CA,220,,,,
92314,Big Bear City,CA,,,,,
92315,Big Bear Lake,CA,,,,,
92316,Bloomington,CA,,,,,
92317,Blue Jay,CA,,,,,
92225,Blythe,CA,,,,,
92226,Blythe,CA,,,,,
93205,Bodfish,CA,,,,,
91902,Bonita,CA,,,,,
91908,Bonita,CA,,,,,
92003,Bonsall,CA,,,,,
93516,Boron,CA,,,,,
93596,Boron,CA,,,,,
92004,Borrego Springs,CA,,,,,
91905,Boulevard,CA,,,,,
93064,Brandeis,CA,,,,,
92821,Brea,CA,220,30,,,
92822,Brea,CA,220,30,,,
92823,Brea,CA,220,30,,,
92318,Bryn Mawr,CA,,,,,
93427,Buellton,CA,,,,,
90620,Buena Park,CA,200,,,,
90621,Buena Park,CA,200,,,,
90622,Buena Park,CA,200,,,,
90624,Buena Park,CA,200,,,,
91501,Burbank,CA,220,,,,
91502,Burbank,CA,220,,,,
91503,Burbank,CA,220,,,,
91504,Burbank,CA,220,,,,
91505,Burbank,CA,220,,,,
91506,Burbank,CA,220,,,,
91507,Burbank,CA,220,,,,
91508,Burbank,CA,220,,,,
91510,Burbank,CA,220,,,,
91521,Burbank,CA,220,,,,
91522,Burbank,CA,220,,,,
91523,Burbank,CA,220,,,,
91526,Burbank,CA,220,,,,
93206,Buttonwillow,CA,,,,,
92230,Cabazon,CA,,,,,
91302,Calabasas,CA,,,,,
91372,Calabasas,CA,,,,,
93518,Caliente,CA,,,,,
93504,California City,CA,,,,,
93505,California City,CA,,,,,
92320,Calimesa,CA,,,,,
93010,Camarillo,CA,430,,,,
93011,Camarillo,CA,430,,,,
93012,Camarillo,CA,430,,,,
93428,Cambria,CA,,,,,
92055,Camp Pendleton,CA,,,,,
91906,Campo,CA,,,,,
91303,Canoga Park,CA,280,100,,,
91304,Canoga Park,CA,280,100,,,
91305,Canoga Park,CA,280,100,,,
91309,Canoga Park,CA,280,100,,,
93519,Cantil,CA,,,,,
91351,Canyon Country,CA,,,,,
91386,Canyon Country,CA,,,,,
91387,Canyon Country,CA,,,,,
92624,Capistrano Beach,CA,,,,,
92007,Cardiff by the Sea,CA,,,,,
92008,Carlsbad,CA,450,,,,
92009,Carlsbad,CA,450,,,,
92010,Carlsbad,CA,450,,,,
92011,Carlsbad,CA,450,,,,
92013,Carlsbad,CA,450,,,,
92018,Carlsbad,CA,450,,,,
93013,Carpinteria,CA,,,,,
93014,Carpinteria,CA,,,,,
90745,Carson,CA,170,,,,
90746,Carson,CA,170,,,,
90747,Carson,CA,170,,,,
90749,Carson,CA,170,,,,
90895,Carson,CA,170,,,,
93429,Casmalia,CA,,,,,
91310,Castaic,CA,,,,,
91384,Castaic,CA,,,,,
92234,Cathedral City,CA,,,,,
92235,Cathedral City,CA,,,,,
93430,Cayucos,CA,,,,,
92321,Cedar Glen,CA,,,,,
92322,Cedarpines Park,CA,,,,,
90067,Century City,CA,,,,,
90703,Cerritos,CA,185,,,,
91311,Chatsworth,CA,290,100,,,
91313,Chatsworth,CA,290,100,,,
91708,Chino,CA,260,,,,
91710,Chino,CA,260,,,,
91709,Chino Hills,CA,,,,,
91909,Chula Vista,CA,,,,,
91910,Chula Vista,CA,,,,,
91911,Chula Vista,CA,,,,,
91912,Chula Vista,CA,,,,,
91913,Chula Vista,CA,,,,,
91914,Chula Vista,CA,,,,,
91915,Chula Vista,CA,,,,,
91921,Chula Vista,CA,,,,,
92323,Cima,CA,,,,,
91714,City of Industry,CA,200,,,,
91715,City of Industry,CA,200,,,,
91716,City of Industry,CA,200,,,,
91711,Claremont,CA,240,60,,,
92236,Coachella,CA,,,,,
92324,Colton,CA,350,150,,,
90022,Commerce,CA,185,,,,
90023,Commerce,CA,185,,,,
90040,Commerce,CA,185,,,,
90091,Commerce,CA,185,,,,
90220,Compton,CA,170,,,,
90221,Compton,CA,170,,,,
90222,Compton,CA,170,,,,
90223,Compton,CA,170,,,,
90224,Compton,CA,170,,,,
92877,Corona,CA,280,100,,,
92878,Corona,CA,280,100,,,
92879,Corona,CA,280,100,,,
92880,Corona,CA,280,100,,,
92881,Corona,CA,280,100,,,
92882,Corona,CA,280,100,,,
92883,Corona,CA,280,100,,,
92625,Corona del Mar,CA,280,100,,,
92118,Coronado,CA,,,,,
92178,Coronado,CA,,,,,
92626,Costa Mesa,CA,220,60,,,
92627,Costa Mesa,CA,220,60,,,
92628,Costa Mesa,CA,220,60,,,
91722,Covina,CA,210,60,,,
91723,Covina,CA,210,60,,,
91724,Covina,CA,210,60,,,
92325,Crestline,CA,,,,,
93432,Creston,CA,,,,,
90230,Culver City,CA,,,,,
90231,Culver City,CA,,,,,
90232,Culver City,CA,,,,,
90233,Culver City,CA,,,,,
90630,Cypress,CA,,,,,
92327,Daggett,CA,,,,,
92629,Dana Point,CA,,,,,
92014,Del Mar,CA,,,,,
93215,Delano,CA,,,,,
93216,Delano,CA,,,,,
91916,Descanso,CA,,,,,
92239,Desert Center,CA,,,,,
92240,Desert Hot Springs,CA,,,,,
92241,Desert Hot Springs,CA,,,,,
91765,Diamond Bar,CA,220,,,,
90090,Dodgertown,CA,,,,,
90239,Downey,CA,175,,,,
90240,Downey,CA,175,,,,
90241,Downey,CA,175,,,,
90242,Downey,CA,175,,,,
91008,Duarte,CA,210,,,,
91009,Duarte,CA,210,,,,
91010,Duarte,CA,210,,,,
91917,Dulzura,CA,,,,,
90041,Eagle Rock,CA,,,,,
92242,Earp,CA,,,,,
92650,East Irvine,CA,,,,,
90026,Echo Park,CA,,,,,
93220,Edison,CA,,,,,
93523,Edwards,CA,,,,,
93524,Edwards,CA,,,,,
92019,El Cajon,CA,520,,,,
92020,El Cajon,CA,520,,,,
92021,El Cajon,CA,520,,,,
92022,El Cajon,CA,520,,,,
91731,El Monte,CA,200,,,,
91732,El Monte,CA,200,,,,
91734,El Monte,CA,200,,,,
91735,El Monte,CA,200,,,,
90245,El Segundo,CA,175,,,,
92609,El Toro,CA,,,,,
92023,Encinitas,CA,,,,,
92024,Encinitas,CA,,,,,
91316,Encino,CA,,,,,
91416,Encino,CA,,,,,
91426,Encino,CA,,,,,
91436,Encino,CA,,,,,
92025,Escondido,CA,520,,,,
92026,Escondido,CA,520,,,,
92027,Escondido,CA,520,,,,
92029,Escondido,CA,520,,,,
92030,Escondido,CA,520,,,,
92033,Escondido,CA,520,,,,
92046,Escondido,CA,520,,,,
92332,Essex,CA,,,,,
92028,Fallbrook,CA,,,,,
92088,Fallbrook,CA,,,,,
92333,Fawnskin,CA,,,,,
93224,Fellows,CA,,,,,
93015,Fillmore,CA,,,,,
93016,Fillmore,CA,,,,,
92331,Fontana,CA,290,,,,
92334,Fontana,CA,290,,,,
92335,Fontana,CA,290,,,,
92336,Fontana,CA,290,,,,
92337,Fontana,CA,290,,,,
92610,Foothill Ranch,CA,,,,,
92339,Forest Falls,CA,,,,,
92310,Fort Irwin,CA,,,,,
92708,Fountain Valley,CA,220,,,,
92728,Fountain Valley,CA,220,,,,
93222,Frazier Park,CA,,,,,
93225,Frazier Park,CA,,,,,
92831,Fullerton,CA,220,,,,
92832,Fullerton,CA,220,,,,
92833,Fullerton,CA,220,,,,
92834,Fullerton,CA,220,,,,
92835,Fullerton,CA,220,,,,
92836,Fullerton,CA,220,,,,
92837,Fullerton,CA,220,,,,
92838,Fullerton,CA,220,,,,
92840,Garden Grove,CA,210,,,,
92841,Garden Grove,CA,210,,,,
92842,Garden Grove,CA,210,,,,
92843,Garden Grove,CA,210,,,,
92844,Garden Grove,CA,210,,,,
92845,Garden Grove,CA,210,,,,
92846,Garden Grove,CA,210,,,,
90247,Gardena,CA,175,,,,
90248,Gardena,CA,175,,,,
90249,Gardena,CA,175,,,,
91201,Glendale,CA,220,,,,
91202,Glendale,CA,220,,,,
91203,Glendale,CA,220,,,,
91204,Glendale,CA,220,,,,
91205,Glendale,CA,220,,,,
91206,Glendale,CA,220,,,,
91207,Glendale,CA,220,,,,
91208,Glendale,CA,220,,,,
91209,Glendale,CA,220,,,,
91210,Glendale,CA,220,,,,
91221,Glendale,CA,220,,,,
91222,Glendale,CA,220,,,,
91225,Glendale,CA,220,,,,
91226,Glendale,CA,220,,,,
91740,Glendora,CA,240,,,,
91741,Glendora,CA,240,,,,
93226,Glennville,CA,,,,,
93116,Goleta,CA,,,,,
93117,Goleta,CA,,,,,
93118,Goleta,CA,,,,,
93199,Goleta,CA,,,,,
