zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
93510,Acton,CA,325,,,,
92301,Adelanto,CA,450,,,,
91301,Agoura Hills,CA,325,,,,
91376,Agoura Hills,CA,325,,,,
92536,Aguanga,CA,,,,,
91801,Alhambra,CA,180,,,,
91802,Alhambra,CA,180,,,,
91803,Alhambra,CA,180,,,,
91804,Alhambra,CA,180,,,,
91896,Alhambra,CA,180,,,,
91899,Alhambra,CA,180,,,,
92656,Aliso Viejo,CA,,,,,
92698,Aliso Viejo,CA,,,,,
91901,Alpine,CA,,,,,
91903,Alpine,CA,,,,,
91701,Alta Loma,CA,286,,,,
91737,Alta Loma,CA,286,,,,
91001,Altadena,CA,220,,,,
91003,Altadena,CA,220,,,,
92304,Amboy,CA,594,,,,
92801,Anaheim,CA,195,,,,
92802,Anaheim,CA,195,,,,
92803,Anaheim,CA,195,,,,
92804,Anaheim,CA,195,,,,
92805,Anaheim,CA,195,,,,
92806,Anaheim,CA,195,,,,
92807,Anaheim,CA,195,,,,
92808,Anaheim,CA,195,,,,
92809,Anaheim,CA,195,,,,
92812,Anaheim,CA,195,,,,
92814,Anaheim,CA,195,,,,
92815,Anaheim,CA,195,,,,
92816,Anaheim,CA,195,,,,
92817,Anaheim,CA,195,,,,
92825,Anaheim,CA,195,,,,
92850,Anaheim,CA,195,,,,
92899,Anaheim,CA,195,,,,
92305,Angelus Oaks,CA,,,,,
92539,Anza,CA,450,,,,
92307,Apple Valley,CA,450,,,,
92308,Apple Valley,CA,450,,,,
91006,Arcadia,CA,200,,,,
91007,Arcadia,CA,200,,,,
91066,Arcadia,CA,200,,,,
91077,Arcadia,CA,200,,,,
91331,Arleta,CA,240,,,,
92503,Arlington,CA,280,,,,
93420,Arroyo Grande,CA,572,,,,
93421,Arroyo Grande,CA,572,,,,
90701,Artesia,CA,170,,,,
90702,Artesia,CA,170,,,,
93203,Arvin,CA,,,,,
93422,Atascadero,CA,725,,,,
93423,Atascadero,CA,725,,,,
92811,Atwood,CA,210,,,,
90704,Avalon,CA,,,,,
93424,Avila Beach,CA,,,,,
91702,Azusa,CA,200,,,,
92309,Baker,CA,,,,,
93301,Bakersfield,CA,540,,,,
93302,Bakersfield,CA,540,,,,
93303,Bakersfield,CA,540,,,,
93304,Bakersfield,CA,540,,,,
93305,Bakersfield,CA,540,,,,
93306,Bakersfield,CA,540,,,,
93307,Bakersfield,CA,540,,,,
93308,Bakersfield,CA,540,,,,
