zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
93510,Acton,CA,,,,,
92301,Adelanto,CA,,,,,
91301,Agoura Hills,CA,,,,,
91376,Agoura Hills,CA,,,,,
92536,Aguanga,CA,,,,,
91801,Alhambra,CA,195,,,,
91802,Alhambra,CA,195,,,,
91803,Alhambra,CA,195,,,,
91804,Alhambra,CA,195,,,,
91896,Alhambra,CA,195,,,,
91899,Alhambra,CA,195,,,,
92656,Aliso Viejo,CA,,,,,
92698,Aliso Viejo,CA,,,,,
91901,Alpine,CA,,,,,
91903,Alpine,CA,,,,,
91701,Alta Loma,CA,,,,,
91737,Alta Loma,CA,,,,,
91001,Altadena,CA,,,,,
91003,Altadena,CA,,,,,
92304,Amboy,CA,,,,,
92801,Anaheim,CA,200,,,,
92802,Anaheim,CA,200,,,,
92803,Anaheim,CA,200,,,,
92804,Anaheim,CA,200,,,,
92805,Anaheim,CA,200,,,,
92806,Anaheim,CA,200,,,,
92807,Anaheim,CA,200,,,,
92808,Anaheim,CA,200,,,,
92809,Anaheim,CA,200,,,,
92812,Anaheim,CA,200,,,,
92814,Anaheim,CA,200,,,,
92815,Anaheim,CA,200,,,,
92816,Anaheim,CA,200,,,,
92817,Anaheim,CA,200,,,,
92825,Anaheim,CA,200,,,,
92850,Anaheim,CA,200,,,,
92899,Anaheim,CA,200,,,,
92305,Angelus Oaks,CA,,,,,
92539,Anza,CA,,,,,
92307,Apple Valley,CA,,,,,
92308,Apple Valley,CA,,,,,
91006,Arcadia,CA,200,,,,
91007,Arcadia,CA,200,,,,
91066,Arcadia,CA,200,,,,
91077,Arcadia,CA,200,,,,
91331,Arleta,CA,,,,,
92503,Arlington,CA,,,,,
93420,Arroyo Grande,CA,,,,,
93421,Arroyo Grande,CA,,,,,
90701,Artesia,CA,175,,,,
90702,Artesia,CA,175,,,,
93203,Arvin,CA,,,,,
93422,Atascadero,CA,,,,,
93423,Atascadero,CA,,,,,
92811,Atwood,CA,,,,,
90704,Avalon,CA,,,,,
93424,Avila Beach,CA,,,,,
91702,Azusa,CA,205,,,,
92309,Baker,CA,,,,,
93301,Bakersfield,CA,500,,,,
93302,Bakersfield,CA,500,,,,
93303,Bakersfield,CA,500,,,,
93304,Bakersfield,CA,500,,,,
93305,Bakersfield,CA,500,,,,
93306,Bakersfield,CA,500,,,,
93307,Bakersfield,CA,500,,,,
93308,Bakersfield,CA,500,,,,
93309,Bakersfield,CA,500,,,,
93311,Bakersfield,CA,500,,,,
93312,Bakersfield,CA,500,,,,
93313,Bakersfield,CA,500,,,,
93314,Bakersfield,CA,500,,,,
93380,Bakersfield,CA,500,,,,
93383,Bakersfield,CA,500,,,,
93384,Bakersfield,CA,500,,,,
93385,Bakersfield,CA,500,,,,
93386,Bakersfield,CA,500,,,,
93387,Bakersfield,CA,500,,,,
93388,Bakersfield,CA,500,,,,
93389,Bakersfield,CA,500,,,,
93390,Bakersfield,CA,500,,,,
91706,Baldwin Park,CA,200,,,,
92220,Banning,CA,,,,,
92311,Barstow,CA,,,,,
92312,Barstow,CA,,,,,
92223,Beaumont,CA,,,,,
90201,Bell,CA,175,,,,
90202,Bell ,CA,175,,,,
90202,Bell Gardens,CA,175,,,,
90201,Bell Gardens ,CA,175,,,,
90706,Bellflower,CA,175,,,,
90707,Bellflower,CA,175,,,,
90209,Beverly Hills,CA,195,,,,
90210,Beverly Hills,CA,195,,,,
90211,Beverly Hills,CA,195,,,,
90212,Beverly Hills,CA,195,,,,
90213,Beverly Hills,CA,195,,,,
92314,Big Bear City,CA,,,,,
92315,Big Bear Lake,CA,,,,,
92316,Bloomington,CA,,,,,
92317,Blue Jay,CA,,,,,
92225,Blythe,CA,,,,,
92226,Blythe,CA,,,,,
93205,Bodfish,CA,,,,,
91902,Bonita,CA,,,,,
91908,Bonita,CA,,,,,
92003,Bonsall,CA,,,,,
93516,Boron,CA,,,,,
93596,Boron,CA,,,,,
92004,Borrego Springs,CA,,,,,
91905,Boulevard,CA,,,,,
93064,Brandeis,CA,,,,,
92821,Brea,CA,200,,,,
92822,Brea,CA,200,,,,
92823,Brea,CA,200,,,,
92318,Bryn Mawr,CA,,,,,
93427,Buellton,CA,,,,,
90620,Buena Park,CA,195,,,,
90621,Buena Park,CA,195,,,,
90622,Buena Park,CA,195,,,,
90624,Buena Park,CA,195,,,,
91501,Burbank,CA,205,,,,
91502,Burbank,CA,205,,,,
91503,Burbank,CA,205,,,,
91504,Burbank,CA,205,,,,
91505,Burbank,CA,205,,,,
91506,Burbank,CA,205,,,,
91507,Burbank,CA,205,,,,
91508,Burbank,CA,205,,,,
91510,Burbank,CA,205,,,,
91521,Burbank,CA,205,,,,
91522,Burbank,CA,205,,,,
91523,Burbank,CA,205,,,,
91526,Burbank,CA,205,,,,
93206,Buttonwillow,CA,,,,,
92230,Cabazon,CA,,,,,
91302,Calabasas,CA,,,,,
91372,Calabasas,CA,,,,,
93518,Caliente,CA,,,,,
93504,California City,CA,,,,,
93505,California City,CA,,,,,
92320,Calimesa,CA,,,,,
93010,Camarillo,CA,325,,,,
93011,Camarillo,CA,325,,,,
93012,Camarillo,CA,325,,,,
93428,Cambria,CA,,,,,
92055,Camp Pendleton,CA,,,,,
91906,Campo,CA,,,,,
91303,Canoga Park,CA,245,,,,
91304,Canoga Park,CA,245,,,,
91305,Canoga Park,CA,245,,,,
91309,Canoga Park,CA,245,,,,
93519,Cantil,CA,,,,,
91351,Canyon Country,CA,,,,,
91386,Canyon Country,CA,,,,,
91387,Canyon Country,CA,,,,,
92624,Capistrano Beach,CA,,,,,
92007,Cardiff by the Sea,CA,,,,,
92008,Carlsbad,CA,400,,,,
92009,Carlsbad,CA,400,,,,
92010,Carlsbad,CA,400,,,,
92011,Carlsbad,CA,400,,,,
92013,Carlsbad,CA,400,,,,
92018,Carlsbad,CA,400,,,,
93013,Carpinteria,CA,,,,,
93014,Carpinteria,CA,,,,,
90745,Carson,CA,155,,,,
90746,Carson,CA,155,,,,
90747,Carson,CA,155,,,,
90749,Carson,CA,155,,,,
90895,Carson,CA,155,,,,
93429,Casmalia,CA,,,,,
91310,Castaic,CA,,,,,
91384,Castaic,CA,,,,,
92234,Cathedral City,CA,,,,,
92235,Cathedral City,CA,,,,,
93430,Cayucos,CA,,,,,
92321,Cedar Glen,CA,,,,,
92322,Cedarpines Park,CA,,,,,
90067,Century City,CA,,,,,
90703,Cerritos,CA,175,,,,
91311,Chatsworth,CA,235,,,,
91313,Chatsworth,CA,235,,,,
91708,Chino,CA,220,,,,
91710,Chino,CA,220,,,,
91709,Chino Hills,CA,,,,,
91909,Chula Vista,CA,470,,,,
91910,Chula Vista,CA,470,,,,
91911,Chula Vista,CA,470,,,,
91912,Chula Vista,CA,470,,,,
91913,Chula Vista,CA,470,,,,
91914,Chula Vista,CA,470,,,,
91915,Chula Vista,CA,470,,,,
91921,Chula Vista,CA,470,,,,
92323,Cima,CA,,,,,
91714,City of Industry,CA,200,,,,
91715,City of Industry,CA,200,,,,
91716,City of Industry,CA,200,,,,
91711,Claremont,CA,230,,,,
92236,Coachella,CA,,,,,
92324,Colton,CA,310,,,,
90022,Commerce,CA,185,,,,
90023,Commerce,CA,185,,,,
90040,Commerce,CA,185,,,,
90091,Commerce,CA,185,,,,
90220,Compton,CA,165,,,,
90221,Compton,CA,165,,,,
90222,Compton,CA,165,,,,
90223,Compton,CA,165,,,,
90224,Compton,CA,165,,,,
92877,Corona,CA,265,,,,
92878,Corona,CA,265,,,,
92879,Corona,CA,265,,,,
92880,Corona,CA,265,,,,
92881,Corona,CA,265,,,,
92882,Corona,CA,265,,,,
92883,Corona,CA,265,,,,
92625,Corona del Mar,CA,265,,,,
92118,Coronado,CA,,,,,
92178,Coronado,CA,,,,,
92626,Costa Mesa,CA,200,,,,
92627,Costa Mesa,CA,200,,,,
92628,Costa Mesa,CA,200,,,,
91722,Covina,CA,205,,,,
91723,Covina,CA,205,,,,
91724,Covina,CA,205,,,,
92325,Crestline,CA,,,,,
93432,Creston,CA,,,,,
90230,Culver City,CA,195,,,,
90231,Culver City,CA,195,,,,
90232,Culver City,CA,195,,,,
90233,Culver City,CA,195,,,,
90630,Cypress,CA,180,,,,
92327,Daggett,CA,,,,,
92629,Dana Point,CA,,,,,
92014,Del Mar,CA,,,,,
93215,Delano,CA,,,,,
93216,Delano,CA,,,,,
91916,Descanso,CA,,,,,
92239,Desert Center,CA,,,,,
92240,Desert Hot Springs,CA,,,,,
92241,Desert Hot Springs,CA,,,,,
91765,Diamond Bar,CA,220,,,,
90090,Dodgertown,CA,,,,,
90239,Downey,CA,185,,,,
90240,Downey,CA,185,,,,
90241,Downey,CA,185,,,,
90242,Downey,CA,185,,,,
91008,Duarte,CA,205,,,,
91009,Duarte,CA,205,,,,
91010,Duarte,CA,205,,,,
91917,Dulzura,CA,,,,,
90041,Eagle Rock,CA,,,,,
92242,Earp,CA,,,,,
92650,East Irvine,CA,,,,,
90026,Echo Park,CA,,,,,
93220,Edison,CA,,,,,
93523,Edwards,CA,,,,,
93524,Edwards,CA,,,,,
92019,El Cajon,CA,470,,,,
92020,El Cajon,CA,470,,,,
92021,El Cajon,CA,470,,,,
92022,El Cajon,CA,470,,,,
91731,El Monte,CA,200,,,,
91732,El Monte,CA,200,,,,
91734,El Monte,CA,200,,,,
91735,El Monte,CA,200,,,,
90245,El Segundo,CA,185,,,,
92609,El Toro,CA,,,,,
92023,Encinitas,CA,,,,,
92024,Encinitas,CA,,,,,
91316,Encino,CA,,,,,
91416,Encino,CA,,,,,
91426,Encino,CA,,,,,
91436,Encino,CA,,,,,
92025,Escondido,CA,,,,,
92026,Escondido,CA,,,,,
92027,Escondido,CA,,,,,
92029,Escondido,CA,,,,,
92030,Escondido,CA,,,,,
92033,Escondido,CA,,,,,
92046,Escondido,CA,,,,,
92332,Essex,CA,,,,,
92028,Fallbrook,CA,,,,,
92088,Fallbrook,CA,,,,,
92333,Fawnskin,CA,,,,,
93224,Fellows,CA,,,,,
93015,Fillmore,CA,,,,,
93016,Fillmore,CA,,,,,
92331,Fontana,CA,215,,,,
92334,Fontana,CA,215,,,,
92335,Fontana,CA,215,,,,
92336,Fontana,CA,215,,,,
92337,Fontana,CA,215,,,,
92610,Foothill Ranch,CA,,,,,
92339,Forest Falls,CA,,,,,
92310,Fort Irwin,CA,,,,,
92708,Fountain Valley,CA,200,,,,
92728,Fountain Valley,CA,200,,,,
93222,Frazier Park,CA,,,,,
93225,Frazier Park,CA,,,,,
92831,Fullerton,CA,200,,,,
92832,Fullerton,CA,200,,,,
92833,Fullerton,CA,200,,,,
92834,Fullerton,CA,200,,,,
92835,Fullerton,CA,200,,,,
92836,Fullerton,CA,200,,,,
92837,Fullerton,CA,200,,,,
92838,Fullerton,CA,200,,,,
92840,Garden Grove,CA,195,,,,
92841,Garden Grove,CA,195,,,,
92842,Garden Grove,CA,195,,,,
92843,Garden Grove,CA,195,,,,
92844,Garden Grove,CA,195,,,,
92845,Garden Grove,CA,195,,,,
92846,Garden Grove,CA,195,,,,
90247,Gardena,CA,168,,,,
90248,Gardena,CA,168,,,,
90249,Gardena,CA,168,,,,
91201,Glendale,CA,205,,,,
91202,Glendale,CA,205,,,,
91203,Glendale,CA,205,,,,
91204,Glendale,CA,205,,,,
91205,Glendale,CA,205,,,,
91206,Glendale,CA,205,,,,
91207,Glendale,CA,205,,,,
91208,Glendale,CA,205,,,,
91209,Glendale,CA,205,,,,
91210,Glendale,CA,205,,,,
91221,Glendale,CA,205,,,,
91222,Glendale,CA,205,,,,
91225,Glendale,CA,205,,,,
91226,Glendale,CA,205,,,,
91740,Glendora,CA,200,,,,
91741,Glendora,CA,200,,,,
93226,Glennville,CA,,,,,
93116,Goleta,CA,,,,,
93117,Goleta,CA,,,,,
93118,Goleta,CA,,,,,
93199,Goleta,CA,,,,,
91344,Granada Hills,CA,,,,,
