zipCode,city,state,rate,dropOffCharge,dropOffChargeOffhour,dropOffChargeWeekend,dropOffChargeHoliday
93510,Acton,CA,,,,,
92301,Adelanto,CA,,,,,
91301,Agoura Hills,CA,,,,,
91376,Agoura Hills,CA,,,,,
92536,Aguanga,CA,,,,,
91801,Alhambra,CA,220,,,,
91802,Alhambra,CA,220,,,,
91803,Alhambra,CA,220,,,,
91804,Alhambra,CA,220,,,,
91896,Alhambra,CA,220,,,,
91899,Alhambra,CA,220,,,,
92656,Aliso Viejo,CA,,,,,
92698,Aliso Viejo,CA,,,,,
91901,Alpine,CA,,,,,
91903,Alpine,CA,,,,,
91701,Alta Loma,CA,,,,,
91737,Alta Loma,CA,,,,,
91001,Altadena,CA,,,,,
91003,Altadena,CA,,,,,
92304,Amboy,CA,,,,,
92801,Anaheim,CA,250,,,,
92802,Anaheim,CA,250,,,,
92803,Anaheim,CA,250,,,,
92804,Anaheim,CA,250,,,,
92805,Anaheim,CA,250,,,,
92806,Anaheim,CA,250,,,,
92807,Anaheim,CA,250,,,,
92808,Anaheim,CA,250,,,,
92809,Anaheim,CA,250,,,,
92812,Anaheim,CA,250,,,,
92814,Anaheim,CA,250,,,,
92815,Anaheim,CA,250,,,,
92816,Anaheim,CA,250,,,,
92817,Anaheim,CA,250,,,,
92825,Anaheim,CA,250,,,,
92850,Anaheim,CA,250,,,,
92899,Anaheim,CA,250,,,,
92305,Angelus Oaks,CA,,,,,
92539,Anza,CA,,,,,
92307,Apple Valley,CA,,,,,
92308,Apple Valley,CA,,,,,
91006,Arcadia,CA,240,,,,
91007,Arcadia,CA,240,,,,
91066,Arcadia,CA,240,,,,
91077,Arcadia,CA,240,,,,
93420,Arroyo Grande,CA,,,,,
93421,Arroyo Grande,CA,,,,,
90701,Artesia,CA,200,,,,
90702,Artesia,CA,200,,,,
93422,Atascadero,CA,,,,,
93423,Atascadero,CA,,,,,
92811,Atwood,CA,,,,,
90704,Avalon,CA,,,,,
93424,Avila Beach,CA,,,,,
91702,Azusa,CA,260,,,,
92309,Baker,CA,,,,,
91706,Baldwin Park,CA,250,,,,
92220,Banning,CA,500,,,,
92311,Barstow,CA,,,,,
92312,Barstow,CA,,,,,
92223,Beaumont,CA,500,,,,
90201,Bell,CA,190,,,,
90202,Bell ,CA,190,,,,
90202,Bell Gardens,CA,200,,,,
90201,Bell Gardens ,CA,200,,,,
90706,Bellflower,CA,,,,,
90707,Bellflower,CA,,,,,
90209,Beverly Hills,CA,250,,,,
90210,Beverly Hills,CA,250,,,,
90211,Beverly Hills,CA,250,,,,
90212,Beverly Hills,CA,250,,,,
90213,Beverly Hills,CA,250,,,,
92314,Big Bear City,CA,,,,,
92315,Big Bear Lake,CA,,,,,
92316,Bloomington,CA,,,,,
92317,Blue Jay,CA,,,,,
92225,Blythe,CA,,,,,
92226,Blythe,CA,,,,,
91902,Bonita,CA,,,,,
91908,Bonita,CA,,,,,
92003,Bonsall,CA,,,,,
92004,Borrego Springs,CA,,,,,
91905,Boulevard,CA,,,,,
93064,Brandeis,CA,,,,,
92821,Brea,CA,260,,,,
92822,Brea,CA,260,,,,
92823,Brea,CA,260,,,,
92318,Bryn Mawr,CA,,,,,
93427,Buellton,CA,,,,,
90620,Buena Park,CA,,,,,
90621,Buena Park,CA,,,,,
90622,Buena Park,CA,,,,,
90624,Buena Park,CA,,,,,
91501,Burbank,CA,250,,,,
91502,Burbank,CA,250,,,,
91503,Burbank,CA,250,,,,
91504,Burbank,CA,250,,,,
91505,Burbank,CA,250,,,,
91506,Burbank,CA,250,,,,
91507,Burbank,CA,250,,,,
91508,Burbank,CA,250,,,,
91510,Burbank,CA,250,,,,
91521,Burbank,CA,250,,,,
91522,Burbank,CA,250,,,,
91523,Burbank,CA,250,,,,
91526,Burbank,CA,250,,,,
92230,Cabazon,CA,,,,,
91302,Calabasas,CA,,,,,
91372,Calabasas,CA,,,,,
92320,Calimesa,CA,,,,,
93010,Camarillo,CA,,,,,
93011,Camarillo,CA,,,,,
93012,Camarillo,CA,,,,,
93428,Cambria,CA,,,,,
92055,Camp Pendleton,CA,,,,,
91906,Campo,CA,,,,,
91303,Canoga Park,CA,,,,,
91304,Canoga Park,CA,,,,,
91305,Canoga Park,CA,,,,,
91309,Canoga Park,CA,,,,,
91351,Canyon Country,CA,,,,,
91386,Canyon Country,CA,,,,,
91387,Canyon Country,CA,,,,,
92624,Capistrano Beach,CA,,,,,
92007,Cardiff by the Sea,CA,,,,,
92008,Carlsbad,CA,,,,,
92009,Carlsbad,CA,,,,,
92010,Carlsbad,CA,,,,,
92011,Carlsbad,CA,,,,,
92013,Carlsbad,CA,,,,,
92018,Carlsbad,CA,,,,,
93013,Carpinteria,CA,,,,,
93014,Carpinteria,CA,,,,,
90745,Carson,CA,190,,,,
90746,Carson,CA,190,,,,
90747,Carson,CA,190,,,,
90749,Carson,CA,190,,,,
90895,Carson,CA,190,,,,
93429,Casmalia,CA,,,,,
91310,Castaic,CA,,,,,
91384,Castaic,CA,,,,,
92234,Cathedral City,CA,,,,,
92235,Cathedral City,CA,,,,,
93430,Cayucos,CA,,,,,
92321,Cedar Glen,CA,,,,,
92322,Cedarpines Park,CA,,,,,
90067,Century City,CA,240,,,,
90703,Cerritos,CA,190,,,,
91311,Chatsworth,CA,,,,,
91313,Chatsworth,CA,,,,,
91708,Chino,CA,280,,,,
91710,Chino,CA,280,,,,
91709,Chino Hills,CA,280,,,,
91909,Chula Vista,CA,,,,,
91910,Chula Vista,CA,,,,,
91911,Chula Vista,CA,,,,,
91912,Chula Vista,CA,,,,,
91913,Chula Vista,CA,,,,,
91914,Chula Vista,CA,,,,,
91915,Chula Vista,CA,,,,,
91921,Chula Vista,CA,,,,,
92323,Cima,CA,,,,,
91714,City of Industry,CA,220,,,,
91715,City of Industry,CA,220,,,,
91716,City of Industry,CA,220,,,,
91711,Claremont,CA,280,,,,
92236,Coachella,CA,,,,,
92324,Colton,CA,,,,,
90220,Compton,CA,190,,,,
90221,Compton,CA,190,,,,
90222,Compton,CA,190,,,,
90223,Compton,CA,190,,,,
90224,Compton,CA,190,,,,
92877,Corona,CA,360,,,,
92878,Corona,CA,360,,,,
92879,Corona,CA,360,,,,
92880,Corona,CA,360,,,,
92881,Corona,CA,360,,,,
92882,Corona,CA,360,,,,
92883,Corona,CA,360,,,,
92625,Corona del Mar,CA,,,,,
92118,Coronado,CA,,,,,
92178,Coronado,CA,,,,,
92626,Costa Mesa,CA,260,,,,
92627,Costa Mesa,CA,260,,,,
92628,Costa Mesa,CA,260,,,,
91722,Covina,CA,230,,,,
91723,Covina,CA,230,,,,
91724,Covina,CA,230,,,,
92325,Crestline,CA,,,,,
93432,Creston,CA,,,,,
90230,Culver City,CA,240,,,,
90231,Culver City,CA,240,,,,
90232,Culver City,CA,240,,,,
90233,Culver City,CA,240,,,,
90630,Cypress,CA,200,,,,
92327,Daggett,CA,,,,,
92629,Dana Point,CA,350,,,,
92014,Del Mar,CA,,,,,
91916,Descanso,CA,,,,,
92239,Desert Center,CA,,,,,
92240,Desert Hot Springs,CA,,,,,
92241,Desert Hot Springs,CA,,,,,
91765,Diamond Bar,CA,260,,,,
90090,Dodgertown,CA,,,,,
90239,Downey,CA,190,,,,
90240,Downey,CA,190,,,,
90241,Downey,CA,190,,,,
90242,Downey,CA,190,,,,
91008,Duarte,CA,250,,,,
91009,Duarte,CA,250,,,,
91010,Duarte,CA,250,,,,
91917,Dulzura,CA,,,,,
92242,Earp,CA,,,,,
92650,East Irvine,CA,,,,,
92019,El Cajon,CA,,,,,
92020,El Cajon,CA,,,,,
92021,El Cajon,CA,,,,,
92022,El Cajon,CA,,,,,
91731,El Monte,CA,220,,,,
91732,El Monte,CA,220,,,,
91734,El Monte,CA,220,,,,
91735,El Monte,CA,220,,,,
90245,El Segundo,CA,,,,,
92609,El Toro,CA,,,,,
92023,Encinitas,CA,,,,,
92024,Encinitas,CA,,,,,
91316,Encino,CA,,,,,
91416,Encino,CA,,,,,
91426,Encino,CA,,,,,
91436,Encino,CA,,,,,
92025,Escondido,CA,,,,,
92026,Escondido,CA,,,,,
92027,Escondido,CA,,,,,
92029,Escondido,CA,,,,,
92030,Escondido,CA,,,,,
92033,Escondido,CA,,,,,
92046,Escondido,CA,,,,,
92332,Essex,CA,,,,,
92028,Fallbrook,CA,,,,,
92088,Fallbrook,CA,,,,,
92333,Fawnskin,CA,,,,,
93015,Fillmore,CA,,,,,
93016,Fillmore,CA,,,,,
92331,Fontana,CA,360,,,,
92334,Fontana,CA,360,,,,
92335,Fontana,CA,360,,,,
92336,Fontana,CA,360,,,,
92337,Fontana,CA,360,,,,
92610,Foothill Ranch,CA,,,,,
92339,Forest Falls,CA,,,,,
92310,Fort Irwin,CA,,,,,
92708,Fountain Valley,CA,,,,,
92728,Fountain Valley,CA,,,,,
92831,Fullerton,CA,,,,,
92832,Fullerton,CA,,,,,
92833,Fullerton,CA,,,,,
92834,Fullerton,CA,,,,,
92835,Fullerton,CA,,,,,
92836,Fullerton,CA,,,,,
92837,Fullerton,CA,,,,,
92838,Fullerton,CA,,,,,
92840,Garden Grove,CA,230,,,,
92841,Garden Grove,CA,230,,,,
92842,Garden Grove,CA,230,,,,
92843,Garden Grove,CA,230,,,,
92844,Garden Grove,CA,230,,,,
92845,Garden Grove,CA,230,,,,
92846,Garden Grove,CA,230,,,,
90247,Gardena,CA,190,,,,
90248,Gardena,CA,190,,,,
90249,Gardena,CA,190,,,,
91201,Glendale,CA,250,,,,
91202,Glendale,CA,250,,,,
91203,Glendale,CA,250,,,,
91204,Glendale,CA,250,,,,
91205,Glendale,CA,250,,,,
91206,Glendale,CA,250,,,,
91207,Glendale,CA,250,,,,
91208,Glendale,CA,250,,,,
91209,Glendale,CA,250,,,,
91210,Glendale,CA,250,,,,
91221,Glendale,CA,250,,,,
91222,Glendale,CA,250,,,,
91225,Glendale,CA,250,,,,
91226,Glendale,CA,250,,,,
91740,Glendora,CA,,,,,
91741,Glendora,CA,,,,,
93116,Goleta,CA,,,,,
93117,Goleta,CA,,,,,
93118,Goleta,CA,,,,,
93199,Goleta,CA,,,,,
91344,Granada Hills,CA,,,,,
91394,Granada Hills,CA,,,,,
92313,Grand Terrace,CA,,,,,
92341,Green Valley Lake,CA,,,,,
93433,Grover Beach,CA,,,,,
93483,Grover Beach,CA,,,,,
93434,Guadalupe,CA,,,,,
91743,Guasti,CA,,,,,
91931,Guatay,CA,,,,,
91745,Hacienda Heights,CA,,,,,
90710,Harbor City,CA,190,,,,
93435,Harmony,CA,,,,,
90716,Hawaiian Gardens,CA,190,,,,
90250,Hawthorne,CA,190,,,,
90251,Hawthorne,CA,190,,,,
92342,Helendale,CA,,,,,
92543,Hemet,CA,,,,,
92544,Hemet,CA,,,,,
92545,Hemet,CA,,,,,
92546,Hemet,CA,,,,,
90254,Hermosa Beach,CA,,,,,
92340,Hesperia,CA,,,,,
92344,Hesperia,CA,,,,,
92345,Hesperia,CA,,,,,
91361,Hidden Valley,CA,,,,,
92346,Highland,CA,,,,,
92347,Hinkley,CA,,,,,
92548,Homeland,CA,,,,,
92605,Huntington Beach,CA,230,,,,
92615,Huntington Beach,CA,230,,,,
92646,Huntington Beach,CA,230,,,,
92647,Huntington Beach,CA,230,,,,
92648,Huntington Beach,CA,230,,,,
92649,Huntington Beach,CA,230,,,,
90255,Huntington Park,CA,230,,,,
92549,Idyllwild,CA,,,,,
91932,Imperial Beach,CA,,,,,
91933,Imperial Beach,CA,,,,,
92210,Indian Wells,CA,,,,,
92201,Indio,CA,,,,,
92202,Indio,CA,,,,,
92203,Indio,CA,,,,,
90301,Inglewood,CA,230,,,,
90302,Inglewood,CA,230,,,,
90303,Inglewood,CA,230,,,,
90304,Inglewood,CA,230,,,,
90305,Inglewood,CA,230,,,,
90306,Inglewood,CA,230,,,,
90307,Inglewood,CA,230,,,,
90308,Inglewood,CA,230,,,,
